Source,Destination
4,235
4,405
4,464
4,3528
9,10
10,9
10,11
11,9
11,10
23,5003
23,5040
23,5045
23,5046
26,5097
26,5112
28,193
29,5186
30,5215
34,345
36,5396
41,5732
48,6076
49,135
49,296
49,406
49,479
49,488
49,4198
58,5112
64,5162
67,6797
67,6889
67,6951
76,43
77,387
77,3736
77,3998
81,24
81,363
81,5050
84,34
84,2286
84,7557
85,4385
86,4371
89,4072
92,108
92,4353
92,4375
92,5076
92,5086
92,5101
92,6382
92,6386
92,6389
95,6230
97,7
99,5547
99,8403
106,92
106,593
107,49
108,92
108,106
108,370
108,4353
108,5076
108,5101
108,6389
109,156
109,387
109,4185
110,339
113,0
113,1490
116,30
121,3776
121,3908
121,9144
125,8111
125,8118
133,49
135,49
136,9532
136,9537
141,121
141,387
141,3715
141,4065
141,8721
142,110
143,141
143,3844
143,4146
143,9797
143,9819
146,421
147,146
148,109
156,77
156,109
156,387
156,424
170,169
176,177
177,176
181,11402
189,174
189,11804
190,59
190,189
190,6326
190,9532
191,4
191,464
192,64
193,28
193,192
193,5162
193,11851
194,479
194,4198
195,133
195,257
195,343
201,3463
201,5345
201,5348
205,2351
209,141
213,6290
223,22001
227,419
227,452
227,3806
227,7857
228,195
232,418
234,602
235,4
235,3528
239,136
239,140
239,174
239,189
239,190
239,9716
239,11804
240,11137
240,22142
249,5550
249,5573
256,49
256,195
257,10
257,11
257,195
257,343
257,565
257,566
258,174
258,190
258,393
258,6326
258,10851
258,22446
261,3892
261,22502
263,461
263,4203
263,11986
270,195
271,539
272,1054
273,49
273,256
274,13499
276,44
276,3670
276,3715
276,3774
276,3942
276,4693
276,5463
276,5511
276,5581
276,5593
276,5871
276,6584
276,7458
276,7485
276,7613
276,7614
276,8300
276,9794
276,11595
276,22771
276,22781
276,22787
276,22795
278,264
280,415
280,5603
283,536
288,4380
288,4382
288,5583
288,23040
290,106
290,197
290,8598
291,150
292,276
294,86
294,4222
294,5140
296,49
296,75
296,259
296,9758
299,192
299,481
299,589
300,10
303,121
303,141
303,143
303,209
306,192
306,481
308,4334
316,136
316,258
316,425
316,507
320,5608
320,6342
320,22411
320,23611
320,23620
321,140
321,396
321,6314
323,141
323,209
323,3840
323,3843
323,4904
323,5667
323,9439
323,9791
323,9806
323,9807
323,13261
323,23638
333,5550
334,5669
334,5670
334,5718
334,5764
335,7
339,110
339,263
339,420
339,13123
342,7
343,195
343,257
345,34
345,181
345,5113
345,5285
345,5344
345,24343
345,24347
346,263
351,4619
351,9391
356,24482
362,6466
363,24
363,81
363,5050
365,24
368,136
368,239
368,406
368,479
370,108
370,4353
370,4375
370,5101
370,6349
370,6389
376,276
384,396
384,25180
386,280
387,30
387,77
387,90
387,109
387,141
387,148
387,156
387,209
387,303
387,424
387,4104
387,8823
387,8844
387,13319
390,107
390,259
390,296
390,339
391,64
391,192
392,192
392,391
393,258
393,4297
396,253
396,321
396,384
399,87
400,542
402,274
402,337
402,584
402,8926
402,13499
402,13555
402,25364
404,224
405,4
405,3532
405,3538
406,49
406,194
406,256
406,368
406,479
406,488
406,6095
408,174
411,75
412,23264
413,106
413,290
415,280
415,355
415,5520
415,5534
416,24
416,2286
417,6795
417,25602
418,232
419,172
419,227
420,107
420,259
420,296
420,339
420,418
420,542
420,4190
420,4203
420,8608
420,8627
420,8631
421,146
421,147
424,156
424,387
424,3769
424,3941
424,4020
424,4104
424,25654
425,174
425,258
425,316
425,10842
426,104
427,6196
427,6207
430,319
430,23215
434,27
446,200
446,272
447,392
447,423
