Source,Destination
10,9
11,9
138,98
147,146
163,27
177,176
193,28
195,133
206,29
252,208
272,100
283,282
306,192
350,335
396,384
405,4
411,75
418,232
421,146
421,147
427,399
430,319
434,27
442,257
446,100
446,200
446,272
447,423
448,423
448,447
456,350
461,263
479,49
481,192
481,299
481,306
489,73
512,192
536,283
542,263
542,461
543,147
551,31
561,500
562,560
565,257
566,19
566,565
591,28
591,64
591,193
591,299
591,306
591,315
591,369
591,481
603,392
612,343
614,60
626,475
688,687
763,755
770,657
804,662
804,728
807,746
845,381
845,626
860,341
906,905
927,786
992,991
1002,906
1019,222
1028,943
1051,158
1067,626
1148,1080
1269,372
1274,774
1280,200
1280,1279
1287,720
1298,1280
1345,1113
1363,1330
1403,1287
1410,1144
1422,1032
1521,1491
1529,646
1542,626
1591,17
1622,1621
1623,1452
1630,946
1650,1647
1661,720
1705,1517
1706,1419
1735,1622
1744,1517
1752,1479
1787,782
1810,1541
1827,1440
1872,1454
1893,1706
1895,1234
1919,1519
1922,1076
1924,484
1956,1622
1975,1961
1987,1735
1997,1423
2015,728
2035,2034
2045,1957
2052,1990
2059,1359
2065,991
2065,992
2091,1974
2109,1574
2109,1732
2111,1902
2146,1574
2155,1517
2160,831
2164,999
2173,1517
2197,1546
2242,1747
2260,1973
2276,2084
2280,811
2280,1121
2292,860
2307,1434
2314,1931
2323,1735
2323,1987
2333,1434
2333,2054
2333,2307
2348,860
2348,2292
2352,1098
2353,1121
2357,1403
2381,1959
2382,1566
2390,842
2390,1783
2424,1591
2433,1783
2548,2547
2566,2005
2619,1021
2636,1682
2673,2671
2689,2688
2715,2713
2755,85
2810,626
2841,226
2841,1325
2845,1772
2858,2457
2877,1435
2926,2843
2986,2985
2998,309
3025,2582
3036,2646
3070,2337
3078,341
3078,860
3122,2773
3162,1630
3178,2934
3184,2777
3200,2058
3247,616
3250,1004
3253,804
3326,2247
3392,2826
3396,3395
3400,3399
3401,720
3417,3358
3440,3121
3444,2841
3458,1573
3476,2462
3493,2882
3498,1134
3526,748
3526,3490
3532,3528
3538,602
3538,3529
3540,3535
3608,1947
3710,3660
3754,2000
3848,3842
3956,298
4023,3594
4078,1163
4079,3552
4079,4035
4106,210
4133,3044
4185,3864
4203,263
4203,461
4212,1861
4212,4194
4217,7
4217,335
4217,342
4221,4215
4225,4222
4228,4215
4228,4221
4231,8
4243,4237
4246,4232
4250,4231
4252,4234
4260,4255
4262,4254
4265,4240
4265,4264
4270,4269
4276,4270
4281,4270
4282,4280
4290,11
4318,4313
4319,4313
4320,4313
4320,4318
4320,4319
4321,4306
4324,4320
4335,4237
4335,4243
4346,14
4346,465
4353,26
4353,108
4353,538
4361,14
4361,4346
4476,4244
4482,4465
4492,3417
4492,4488
4492,4490
4492,4491
4494,3417
4494,4488
4494,4491
4494,4492
4497,1420
4497,1486
4503,559
4503,2703
4504,3417
4504,4491
4504,4492
4504,4493
4586,3237
4604,4593
4618,4613
4618,4615
4619,351
4625,4559
4664,4628
4676,3615
4702,525
4803,1682
4836,1648
4867,3660
4867,3661
4867,3710
4893,576
4907,4836
4933,4792
4936,4427
4987,4935
4996,4962
5003,23
5007,2758
5022,591
5040,23
5057,3129
5060,5055
5070,4237
5070,4243
5070,4335
5073,26
5073,106
5083,26
5086,92
5089,5072
5097,5076
5103,5072
5103,5089
5105,5084
5106,4375
5112,26
5112,108
5112,538
5112,4353
5114,5100
5118,26
5118,538
5118,4353
5118,5073
5118,5083
5124,163
5127,5126
5137,5124
5142,27
5142,163
5142,5120
5142,5124
5143,27
5143,5123
5143,5124
5143,5142
5146,1432
5150,5120
5155,5119
5155,5120
5155,5124
5155,5137
5155,5150
5159,5119
5159,5124
5159,5143
5162,64
5162,193
5164,5160
5171,4648
5185,5179
5189,5184
5195,5166
5196,5184
5196,5189
5219,3845
5223,5217
5228,5119
5228,5148
5232,5217
5232,5223
5241,5185
5243,206
5258,510
5258,1351
5271,5263
5272,5261
5279,332
5343,5315
5365,5357
5365,5363
5419,37
5455,546
5458,5435
5529,4924
5535,5508
5544,3143
5604,4908
5634,898
5655,334
5670,334
5670,5655
5692,334
5692,5655
5692,5670
5701,5687
5715,5657
5720,5669
5734,334
5734,5655
5734,5670
5734,5692
5745,5713
5763,5693
5770,5713
5770,5745
5799,5797
5828,5788
5833,43
5838,5831
5847,5832
5894,5870
5913,5046
5963,5870
5963,5894
5966,5919
5979,5919
5980,3986
5980,5870
5980,5902
5980,5963
6004,3391
6055,6049
6063,6059
6103,65
6111,52
6111,83
6112,5192
6113,3631
6116,6111
6117,6110
6123,6116
6127,6125
6134,6111
6134,6124
6134,6132
6135,6109
6136,6132
6136,6134
6139,6138
6140,6133
6142,83
6142,6110
6142,6111
6142,6116
6142,6123
6142,6132
6142,6134
6146,6125
6150,6111
6152,6132
6152,6142
6153,6132
6153,6142
6153,6152
6154,6142
6155,83
6155,6116
6155,6123
6156,6110
6156,6111
6156,6124
6156,6134
6156,6142
6158,6132
